"","respid","birth.year","age","years.nk","edu.nk","class.nk","gender","origins","female","years.sk","pride.socialism","pride.politicalinfluence","pride.economics","pride.science","pride.sports","pride.arts","pride.baekdublood","pride.military","pride.revolutionaryhist","pride.groups","pride.juche","pride.socialsecurity","year.survey","weights"
"352",352,NA,NA,NA,"Secondary School","Middle",0,"Ryanggang",0,NA,3,2,2,NA,4,NA,3,NA,3,3,3,2,2016,3
"353",353,1979,40,32,"Secondary School","Middle-low",1,"North Hamgyong",1,7,2,2,2,3,3,3,3,3,3,2,3,2,2019,1.437181996
"354",354,1969,50,35,"Secondary School","Low",1,"North Hamgyong",1,3,2,2,1,4,3,4,2,4,3,NA,2,2,2019,1.437181996
"355",355,1966,53,40,"Technical Training","Low",1,"Gangwon",1,7,3,3,2,3,3,2,2,2,2,2,2,2,2019,2.667496887
"356",356,1979,40,36,"Secondary School","Middle-low",1,"Ryanggang",1,1,3,3,3,3,3,3,3,3,3,3,3,3,2019,3
"357",357,1989,30,22,"University+","High",0,"Ryanggang",0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,3
"358",358,1988,31,19,"Secondary School",NA,1,"South Pyongan",1,3,4,3,1,3,3,3,3,2,3,3,3,3,2019,0.718590998
"359",359,1963,56,NA,"Secondary School","Middle-high",NA,"North Hamgyong",NA,NA,4,1,1,3,4,4,3,4,3,3,4,1,2019,NA
"360",360,1970,49,30,"Secondary School","Middle",1,"South Hamgyong",1,4,3,3,2,2,3,3,2,2,2,2,2,1,2019,1.437181996
"361",361,1995,24,13,"Secondary School","Middle",1,"South Hamgyong",1,6,3,2,2,4,4,4,3,NA,3,3,3,1,2019,1.437181996
"362",362,1966,53,41,"Technical Training","Middle",1,"North Hamgyong",1,12,4,1,1,3,4,3,1,3,1,1,1,1,2019,1.333748443
"363",363,1971,48,40,"Secondary School","Middle-high",1,"North Hamgyong",1,8,2,2,2,3,2,3,2,2,2,2,3,2,2019,1.437181996
"364",364,1975,44,36,"Secondary School","Low",1,"Ryanggang",1,7,3,3,2,4,3,NA,3,4,4,3,3,3,2019,3
"365",365,1974,45,36,"University+","Middle",0,"North Hamgyong",0,8,2,2,2,3,2,2,2,4,2,2,2,2,2019,3
"366",366,1957,62,42,"Secondary School","Middle",1,"North Hamgyong",1,15,3,2,4,4,4,2,2,2,4,3,2,1,2019,1.437181996
"367",367,1972,47,40,"Secondary School","Middle",0,"South Hamgyong",0,7,3,2,4,4,NA,NA,2,2,2,3,2,2,2019,3
"368",368,1946,73,61,"Technical Training","Middle-low",1,"Nampo",1,9,2,3,4,3,4,4,1,NA,2,2,1,1,2019,NA
"369",369,1970,49,39,"Technical Training","High",1,"North Hamgyong",1,7,3,3,2,3,3,3,2,3,3,2,2,2,2019,1.333748443
"370",370,1973,46,44,"Technical Training","Middle-low",1,"Gangwon",1,2,3,3,2,2,3,2,2,2,2,2,2,2,2019,2.667496887
"371",371,1981,38,23,"Secondary School","Middle-low",1,"North Hamgyong",1,6,2,3,3,3,3,2,2,2,1,1,1,1,2019,1.437181996
"372",372,1974,45,32,"Secondary School","Middle",1,"North Hamgyong",1,5,2,2,2,2,3,4,1,4,1,1,1,1,2019,1.437181996
"373",373,1978,41,20,"Secondary School","Low",1,"North Hamgyong",1,5,2,2,2,3,3,3,2,2,2,2,2,2,2019,1.437181996
"374",374,1988,31,21,"University+","Middle",1,"Ryanggang",1,4,2,2,2,2,4,4,2,2,3,2,2,2,2019,3
"375",375,1969,50,29,"Secondary School","Low",1,"North Hamgyong",1,9,1,4,NA,NA,NA,NA,4,4,3,4,3,4,2019,1.437181996
"376",376,1956,63,56,"Technical Training","High",0,"Ryanggang",0,6,2,2,2,2,3,4,2,2,2,2,2,2,2019,3
"377",377,1998,21,14,"<=Elementary","Low",0,"North Hamgyong",0,7,4,2,2,3,4,4,3,4,4,4,4,4,2019,3
"378",378,1977,42,41,"Secondary School","Middle",1,"Ryanggang",1,1,3,3,3,4,4,3,2,3,2,2,2,2,2019,3
"379",379,1991,28,22,"Secondary School","Low",1,"Ryanggang",1,1,1,2,1,1,2,3,1,3,1,1,1,1,2019,3
"380",380,1980,39,33,"Secondary School","Middle-low",1,"Ryanggang",1,1,2,2,2,2,2,3,2,2,2,2,2,2,2019,3
"381",381,1960,59,46,NA,"Low",1,"North Hamgyong",1,9,2,2,2,2,2,2,2,2,2,2,2,2,2019,NA
"382",382,1970,49,33,"Secondary School","Low",1,"North Hamgyong",1,9,4,4,3,NA,4,4,4,NA,NA,4,NA,4,2019,1.437181996
"383",383,1961,58,46,"Technical Training","Low",1,"North Hamgyong",1,8,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.333748443
"384",384,1974,45,24,"Secondary School","Middle",0,"North Hamgyong",0,16,2,2,2,3,2,4,2,3,2,2,2,2,2019,3
"385",385,1988,31,25,"Technical Training","High",0,"Ryanggang",0,5,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"386",386,1974,45,25,"Secondary School","Middle-high",1,"North Hamgyong",1,13,3,4,2,2,1,3,2,2,2,2,3,2,2019,1.437181996
"387",387,1975,44,23,"Secondary School","Middle",1,"North Hamgyong",1,15,4,3,3,4,4,4,3,NA,3,3,3,4,2019,1.437181996
"388",388,1964,55,37,"Secondary School","Low",1,"North Hamgyong",1,12,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"389",389,1987,32,22,"Secondary School","Middle",1,"North Hamgyong",1,9,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"390",390,1986,33,17,"Secondary School","Middle",1,"Ryanggang",1,8,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"391",391,NA,NA,NA,"Secondary School","Middle",NA,"North Hamgyong",NA,8,2,2,2,2,2,2,2,2,2,2,2,2,2019,NA
"392",392,1976,43,35,"Secondary School","Middle-low",0,"Pyongyang",0,8,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.866666667
"393",393,1970,49,40,"Secondary School","Middle-high",0,"North Hamgyong",0,9,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"394",394,1968,51,40,"Secondary School","Middle-low",1,"North Hamgyong",1,1,2,2,2,2,3,3,2,NA,2,2,2,2,2019,1.437181996
"395",395,1964,55,NA,"Secondary School","Middle",0,"Ryanggang",0,NA,1,4,4,NA,NA,NA,1,NA,3,NA,3,NA,2019,3
"396",396,1952,67,NA,"Secondary School","Middle",0,"Jagang",0,2,1,1,NA,NA,1,NA,NA,1,1,1,1,NA,2019,3
"397",397,1967,52,31,"Secondary School","Middle",1,"North Hamgyong",1,17,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"398",398,1955,64,56,"Secondary School","Low",1,"Ryanggang",1,3,3,1,1,3,3,4,2,3,1,2,1,1,2019,3
"399",399,1951,68,47,"Secondary School","Low",1,"North Hamgyong",1,3,3,1,1,3,4,4,1,NA,1,2,1,2,2019,1.437181996
"400",400,1958,61,49,"Secondary School","Middle",1," South Pyongan",1,8,3,2,3,4,4,4,2,2,2,2,2,2,2019,0.718590998
"401",401,NA,NA,NA,"Secondary School",NA,1,"North Hamgyong",1,5,NA,3,2,3,NA,4,3,NA,NA,3,NA,2,2019,1.437181996
"402",402,1945,74,53,"Secondary School","Low",1,"North Hamgyong",1,9,NA,NA,3,3,3,3,NA,NA,NA,2,3,2,2019,1.437181996
"403",403,1973,46,39,"Secondary School","Middle",0,"Ryanggang",0,7,3,2,2,3,4,4,2,2,2,3,2,2,2019,3
"404",404,1990,29,22,"Secondary School","Middle-high",1,"Ryanggang",1,3,4,3,3,2,2,4,3,3,3,3,3,3,2019,3
"405",405,1978,41,36,"University+","Middle",1,"North Hamgyong",1,5,3,2,2,2,4,4,2,NA,3,2,NA,3,2019,1.333748443
"406",406,1948,71,57,"Secondary School","Low",1,"North Hamgyong",1,14,2,2,2,3,4,4,2,NA,2,2,NA,3,2019,1.437181996
"407",407,1982,37,16,"Secondary School","Middle-low",0,"North Hamgyong",0,16,2,2,2,1,3,4,2,1,1,3,3,1,2019,3
"408",408,1984,35,20,"Secondary School","Middle",1,"North Hamgyong",1,13,2,3,3,4,4,4,2,2,1,2,2,2,2019,1.437181996
"409",409,1984,35,27,"Technical Training","Middle",1,"North Hamgyong",1,8,2,2,2,2,2,2,2,2,2,2,4,2,2019,1.333748443
"410",410,1979,40,35,"Technical Training","Middle-low",0,"North Hamgyong",0,4,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"411",411,1989,30,NA,"Secondary School","High",1,"North Hwanghae",1,NA,2,2,2,2,2,2,2,2,2,2,2,2,2019,2.155772994
"412",412,1974,45,25,"Secondary School","Low",1,"North Hamgyong",1,13,3,2,2,2,4,4,3,3,2,2,2,2,2019,1.437181996
"413",413,1972,47,27,"Technical Training","Middle-low",1,"North Hamgyong",1,9,4,3,3,2,2,NA,2,NA,2,3,4,2,2019,1.333748443
"414",414,1979,40,19,"Secondary School","Low",1,"North Hamgyong",1,6,4,2,2,2,3,3,2,4,2,3,2,2,2019,1.437181996
"415",415,1963,56,26,"Secondary School","Low",1,"South Hamgyong",1,6,2,3,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"416",416,1963,56,45,"University+","Middle",0,"North Hamgyong",0,11,4,2,2,3,4,4,2,3,2,2,2,2,2019,3
"417",417,1981,38,33,"Secondary School","Middle-low",1,"North Hamgyong",1,4,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"418",418,1984,35,20,"Secondary School","Middle-low",1,"North Hamgyong",1,11,4,NA,2,4,4,4,2,4,2,2,2,2,2019,1.437181996
"419",419,1977,42,20,"Secondary School","Low",1,"North Hamgyong",1,13,2,2,3,3,2,4,2,3,3,2,3,2,2019,1.437181996
"420",420,1959,60,51,"Secondary School","Middle",1,"North Hamgyong",1,9,2,1,4,2,4,NA,2,2,2,1,1,2,2019,1.437181996
"421",421,1967,52,31,"Technical Training","Middle",1,"North Hamgyong",1,17,3,2,1,3,4,3,1,1,1,1,1,1,2019,1.333748443
"422",422,1937,82,52,"University+","Middle-low",1,"North Hamgyong",1,9,4,2,2,2,2,2,2,2,2,2,2,2,2019,1.333748443
"423",423,1982,37,31,"Secondary School","Middle",1,"North Hamgyong",1,5,2,2,2,2,3,3,2,3,2,2,2,2,2019,1.437181996
"424",424,1966,53,46,"Secondary School","Middle",1,"Ryanggang",1,1,3,3,3,3,3,3,3,3,3,3,3,3,2019,3
"425",425,1967,52,35,"Secondary School","Middle-low",1," South Pyongan",1,12,2,2,2,2,3,4,2,2,2,2,2,2,2019,0.718590998
"426",426,1980,39,24,"Secondary School","Low",1,"North Hamgyong",1,11,3,2,2,3,4,3,2,4,2,2,2,4,2019,1.437181996
"427",427,1985,34,22,"Secondary School","Middle-low",1,"North Hamgyong",1,11,3,3,4,NA,3,3,3,NA,NA,3,3,3,2019,1.437181996
"428",428,1976,43,21,"Secondary School","Middle",1,"South Hamgyong",1,16,2,2,3,4,NA,4,3,2,2,2,1,1,2019,1.437181996
"429",429,1955,64,54,"Secondary School","Middle",0,"South Hamgyong",0,10,1,1,3,4,4,NA,2,3,1,1,1,1,2019,3
"430",430,1987,32,15,"Secondary School","Low",1,"Ryanggang",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"431",431,1991,28,24,"Secondary School","Middle-high",0,"Ryanggang",0,3,2,2,2,2,2,4,2,4,NA,2,2,2,2019,3
"432",432,1980,39,18,"Secondary School","Low",1,"Jagang",1,12,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"433",433,NA,NA,NA,"<=Elementary","Low",1,"Ryanggang",1,1,3,3,NA,3,3,3,3,3,3,3,3,3,2019,3
"434",434,NA,NA,NA,"Secondary School","Middle-low",1,"North Hamgyong",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"435",435,1946,73,51,"Secondary School","Low",1,"North Hamgyong",1,9,4,NA,2,4,4,NA,2,2,2,2,2,2,2019,1.437181996
"436",436,1990,29,21,"Secondary School","Middle-low",NA,"Ryanggang",NA,1,3,3,3,4,4,3,1,NA,3,1,2,2,2019,NA
"437",437,1970,49,34,"Secondary School","Middle-low",0,"North Hamgyong",0,3,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"438",438,1950,69,54,"Secondary School","High",1,"North Hamgyong",1,14,2,3,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"439",439,1977,42,30,"Secondary School","Middle",1,"North Hamgyong",1,9,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"440",440,1967,52,44,"Secondary School","Low",1,"North Hamgyong",1,8,3,3,2,1,4,4,1,3,4,3,3,2,2019,1.437181996
"441",441,1991,28,24,"Secondary School","Middle",0,"Ryanggang",0,3,2,2,2,4,3,4,2,4,2,2,3,2,2019,3
"442",442,1984,35,28,"Secondary School","Middle-high",0,"North Hamgyong",0,6,4,3,2,2,2,2,2,4,2,2,2,2,2019,3
"443",443,1975,44,33,"Secondary School","Middle-low",0,"Ryanggang",0,10,2,1,2,1,2,3,2,3,2,2,2,2,2019,3
"444",444,1972,47,34,"Technical Training","Middle",1,"Ryanggang",1,8,4,4,2,3,3,4,3,4,3,2,2,2,2019,3
"445",445,1984,35,23,"Secondary School","Middle",1,"North Hamgyong",1,9,3,4,2,4,4,3,3,4,3,1,3,2,2019,1.437181996
"446",446,1985,34,31,"Technical Training","Middle",0,"North Hamgyong",0,3,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"447",447,1995,24,22,"Technical Training","Low",NA,"Ryanggang",NA,1,2,2,2,2,3,2,2,2,2,2,2,2,2019,NA
"448",448,1963,56,49,"Secondary School","Middle-low",1,"Ryanggang",1,6,2,2,2,2,4,2,2,2,2,2,2,2,2019,3
"449",449,1977,42,20,"Technical Training","Low",1,"North Hamgyong",1,9,2,2,2,2,4,4,2,2,2,2,2,2,2019,1.333748443
"450",450,1999,20,14,"Secondary School","Middle",0,"Ryanggang",0,1,3,3,4,3,4,3,3,3,3,4,3,4,2019,3
"451",451,1994,25,21,"Secondary School","Middle",1,"Ryanggang",1,2,3,2,2,2,3,3,2,4,3,2,2,2,2019,3
"452",452,1993,26,21,"Secondary School","Low",0,"Ryanggang",0,4,2,2,2,2,3,3,2,2,2,2,2,2,2019,3
"453",453,1983,36,28,"Secondary School","Middle-low",1,"Ryanggang",1,2,4,4,3,2,2,2,3,4,3,2,2,2,2019,3
"454",454,1996,23,19,"Secondary School","Middle",0,"Ryanggang",0,3,3,2,2,2,3,2,2,4,2,2,3,2,2019,3
"455",455,1999,20,17,"Secondary School","Middle",1,"Ryanggang",1,2,3,2,2,2,3,2,2,3,2,2,2,2,2019,3
"456",456,1967,52,43,"Secondary School",NA,0," South Pyongan",0,7,2,2,1,2,2,2,2,2,2,2,2,2,2019,1.866666667
"457",457,1989,30,23,"Secondary School","Middle-low",1,"North Hamgyong",1,1,2,3,2,3,1,4,2,2,1,3,2,2,2019,1.437181996
"458",458,1953,66,62,"University+","Middle",1,"North Hamgyong",1,1,2,2,2,3,4,4,2,3,2,2,2,3,2019,1.333748443
"459",459,1979,40,24,"Secondary School","Low",1,"Ryanggang",1,6,2,2,2,2,NA,4,2,2,2,2,2,2,2019,3
"460",460,1948,71,NA,"Secondary School","Middle-low",0,"South Hamgyong",0,NA,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"461",461,1978,41,20,"Secondary School","Low",1,"North Hamgyong",1,15,2,2,2,3,2,3,3,4,3,3,3,2,2019,1.437181996
"462",462,1958,61,39,"Technical Training","Middle-high",1,"Pyongyang",1,13,2,3,2,2,2,2,2,2,2,2,2,2,2019,0.666874222
"463",463,1958,61,39,"Technical Training","Low",1,"North Hamgyong",1,16,2,NA,2,2,2,4,2,2,2,2,2,2,2019,1.333748443
"464",464,1963,56,34,"Secondary School","Low",1,"North Hamgyong",1,15,2,1,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"465",465,1938,81,66,"University+","High",0,"North Hamgyong",0,14,2,3,2,2,2,2,2,2,2,2,2,2,2019,3
"466",466,1974,45,38,"Secondary School","Middle",1,"Ryanggang",1,7,4,3,2,4,NA,NA,2,2,2,3,3,1,2019,3
"467",467,1981,38,28,"Secondary School","Low",0,"North Hamgyong",0,10,3,3,4,4,4,2,2,2,2,2,2,2,2019,3
"468",468,1980,39,24,"Secondary School","Low",NA,"North Hamgyong",NA,10,3,3,4,4,4,2,2,2,2,2,2,2,2019,NA
"469",469,1978,41,31,"Secondary School",NA,1,"North Hamgyong",1,10,3,3,3,4,4,2,2,2,2,2,2,2,2019,1.437181996
"470",470,1992,27,23,"Secondary School","Middle-low",1,"Ryanggang",1,2,3,3,3,4,3,3,3,3,3,3,3,3,2019,3
"471",471,1966,53,43,"Secondary School","Low",0,"North Hamgyong",0,10,3,3,4,3,3,2,2,2,2,2,2,2,2019,3
"472",472,1973,46,36,"Secondary School","High",1,"Ryanggang",1,10,3,3,3,3,4,2,2,2,2,2,2,2,2019,3
"473",473,1971,48,27,"Secondary School","Low",1,"North Hamgyong",1,7,2,2,2,2,4,4,2,4,2,2,2,2,2019,1.437181996
"474",474,1966,53,42,"Secondary School","Middle-low",0,"South Hwanghae",0,11,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"475",475,1987,32,17,"Secondary School","Middle",1,"North Hamgyong",1,11,2,2,2,3,4,4,3,3,2,3,3,2,2019,1.437181996
"476",476,1990,29,23,"Secondary School","Middle",0,"Ryanggang",0,6,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"477",477,1987,32,18,"Secondary School","Middle-high",1,"Ryanggang",1,14,3,3,3,3,3,3,3,3,3,3,3,3,2019,3
"478",478,1984,35,31,"Secondary School","Middle-high",1,"North Hamgyong",1,4,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"479",479,1971,48,35,"Secondary School","Middle",1,"North Hamgyong",1,7,2,1,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"480",480,1998,21,14,"<=Elementary","Middle-low",1,"North Hamgyong",1,7,2,2,2,4,2,2,2,4,2,2,2,2,2019,1.397260274
"481",481,1960,59,38,"Technical Training","Low",1,"North Hamgyong",1,11,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.333748443
"482",482,1974,45,36,"Technical Training","Middle-low",0,"North Hamgyong",0,9,2,2,2,3,3,3,2,2,2,2,2,2,2019,3
"483",483,1976,43,31,"Secondary School","Low",1,"North Hamgyong",1,8,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"484",484,1971,48,27,"Secondary School","Low",1,"North Hamgyong",1,14,3,4,4,4,4,4,3,4,3,2,3,3,2019,1.437181996
"485",485,1964,55,30,"Secondary School","Low",0,"North Hamgyong",0,14,4,3,1,2,NA,NA,2,2,2,1,2,2,2019,3
"486",486,1974,45,40,"University+","Middle-low",0,"North Hamgyong",0,5,2,2,2,2,3,4,2,3,2,2,2,2,2019,3
"487",487,1979,40,29,"Secondary School","Middle-high",1,"Ryanggang",1,11,2,2,2,2,3,4,2,2,2,2,2,2,2019,3
"488",488,1985,34,30,"Secondary School","Middle",1,"Ryanggang",1,3,2,2,2,2,3,4,2,2,2,2,2,2,2019,3
"489",489,1983,36,18,"Secondary School","Low",1,"North Hamgyong",1,1,2,1,2,1,4,1,2,1,2,2,2,1,2019,1.437181996
"490",490,1972,47,35,"Technical Training","Low",0,"South Hamgyong",0,12,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"491",491,NA,NA,NA,"Secondary School","Middle",1,"Ryanggang",1,NA,3,4,4,4,3,4,1,4,1,2,1,1,2019,3
"492",492,NA,NA,NA,"Technical Training","Middle-high",NA,"North Hamgyong",NA,4,2,4,2,2,2,3,2,4,4,2,4,2,2019,NA
"493",493,1989,30,26,"Secondary School","Middle",1,"North Hamgyong",1,3,3,2,2,2,3,4,1,1,2,2,2,2,2019,1.437181996
"494",494,1990,29,23,"Technical Training","Middle-high",1,"Ryanggang",1,3,2,2,2,1,1,1,2,2,2,2,2,2,2019,3
"495",495,1971,48,38,"Secondary School","Middle",1,"North Hamgyong",1,10,3,2,2,2,2,2,2,4,3,2,2,2,2019,1.437181996
"496",496,1979,40,27,"Secondary School","Low",1,"North Hamgyong",1,7,2,NA,4,NA,NA,NA,2,NA,2,3,2,2,2019,1.437181996
"497",497,1978,41,23,"Secondary School","Low",1,"North Hamgyong",1,9,2,2,2,4,3,NA,2,2,2,2,2,2,2019,1.437181996
"498",498,1975,44,31,"Technical Training","Middle-low",1,"North Hamgyong",1,6,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,4,2019,1.333748443
"499",499,2000,19,9,"<=Elementary","Middle",1,"North Hamgyong",1,10,1,1,1,1,1,1,1,1,1,1,1,1,2019,1.397260274
"500",500,1999,20,10,"<=Elementary","Middle",1,"North Hamgyong",1,10,2,2,3,3,2,2,2,4,2,2,2,2,2019,1.397260274
"501",501,1975,44,24,"Secondary School","Middle-low",1,"North Hamgyong",1,5,3,2,2,2,4,4,4,3,4,3,3,3,2019,1.437181996
"502",502,1975,44,29,"Technical Training","Low",1,"North Hamgyong",1,1,2,1,3,3,1,3,2,2,2,3,2,3,2019,1.333748443
"503",503,1950,69,NA,"Technical Training","Middle-low",1,"South Hamgyong",1,NA,2,2,2,2,2,2,2,2,2,1,1,1,2019,1.333748443
"504",504,1959,60,52,"University+","Middle",1,"South Hamgyong",1,8,3,3,4,NA,NA,NA,2,NA,3,1,3,3,2019,1.333748443
"505",505,1976,43,36,"Secondary School","Middle",0,"North Hamgyong",0,7,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"506",506,1994,25,22,"Secondary School","Middle-low",0,"North Hamgyong",0,3,2,2,2,2,2,4,2,2,2,2,2,2,2019,3
"507",507,1982,37,26,"University+","Middle-high",1,"Ryanggang",1,2,4,2,4,4,4,4,2,3,NA,4,2,2,2019,3
"508",508,1969,50,29,"Secondary School","Low",1,"Gangwon",1,5,3,4,2,4,NA,NA,2,3,2,2,2,1,2019,2.874363992
"509",509,1968,51,30,"Technical Training","Middle",1,"Pyongyang",1,17,2,3,2,2,4,4,2,3,4,2,3,2,2019,0.666874222
"510",510,1981,38,20,"Secondary School","Low",1,"North Hamgyong",1,13,3,2,1,2,3,4,2,4,3,2,3,2,2019,1.437181996
"511",511,1969,50,34,"Technical Training","Middle-low",1,"North Hamgyong",1,13,4,4,NA,3,3,4,2,2,2,2,1,1,2019,1.333748443
"512",512,1982,37,24,"Technical Training","Middle",1,"North Hwanghae",1,12,3,4,3,3,3,4,3,4,3,3,3,3,2019,2.000622665
"513",513,1997,22,20,"Technical Training",NA,1,"Ryanggang",1,2,2,2,2,3,3,4,2,2,2,2,2,2,2019,3
"514",514,1977,42,24,"Secondary School","Low",1,"North Hamgyong",1,13,2,3,2,2,4,3,2,3,2,2,2,2,2019,1.437181996
"515",515,1942,77,70,"<=Elementary","Low",1,"Ryanggang",1,7,2,3,2,2,3,3,3,3,2,2,2,2,2019,3
"516",516,1979,40,24,"Secondary School","Low",1,"North Hamgyong",1,11,3,4,2,4,4,3,2,4,3,2,4,2,2019,1.437181996
"517",517,1976,43,30,"Secondary School","Middle",0,"North Hamgyong",0,11,2,2,2,3,3,3,2,3,2,3,2,2,2019,3
"518",518,1964,55,40,"Technical Training","Low",0,"North Hamgyong",0,15,3,3,3,3,3,4,3,3,3,3,3,3,2019,3
"519",519,1989,30,16,"Secondary School","Middle-high",0," South Pyongan",0,13,2,4,3,4,4,3,3,3,3,2,2,2,2019,1.866666667
"520",520,1971,48,27,"Secondary School","Low",1,"North Hamgyong",1,9,3,3,3,2,2,2,1,4,4,1,2,2,2019,1.437181996
"521",521,1982,37,28,"Secondary School","Low",1,"Ryanggang",1,4,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"522",522,1970,49,34,"Secondary School","Low",1,"North Hamgyong",1,8,2,2,2,4,4,2,2,3,3,2,2,2,2019,1.437181996
"523",523,1970,49,41,"Secondary School","Low",1,"North Hamgyong",1,2,2,2,2,4,2,2,3,3,3,2,2,2,2019,1.437181996
"524",524,1972,47,35,"Secondary School","Middle-low",1,"North Hamgyong",1,2,3,3,3,3,3,4,3,4,2,3,2,4,2019,1.437181996
"525",525,1977,42,26,"Secondary School","Low",1,"South Hwanghae",1,2,3,3,3,3,3,3,3,3,3,4,3,3,2019,2.155772994
